ROI,N,t,p,diff,cohens_dz,sig
Default,40,2.489657523371997,0.017158080900747982,0.016754383193353775,0.39364941838147005,True
Somatomotor,40,2.325186480275414,0.02535686290320635,0.015599631982917667,0.36764426311502424,True
VentralAttention,40,2.3167531335617566,0.025859618384843238,0.019129577500289395,0.3663108339193716,True
Frontoparietal,40,2.307580447328929,0.026416597685908923,0.013069367915991883,0.3648605048814814,True
Visual,40,1.9443428098146267,0.059092349344910894,0.014814313820535396,0.30742759155929045,False
DorsalAttention,40,1.7490135650325283,0.08815591736190953,0.011014925431295846,0.276543326201691,False
Limbic,40,0.9458757486313307,0.649964200809091,0.0047723993142113315,0.14955608745959492,False
