Network,N,Rest_mean,Rest_t,Rest_p,FE_mean,FE_t,FE_p,Diff_t,Diff_p,LowCoverage,Rest_sig,FE_sig,Diff_sig,Classification
Default,40,0.10353719193076719,16.786017607417328,1.9288150226786509e-19,0.12029157512412095,17.038241444583253,1.1541499534752208e-19,2.489657523371997,0.017158080900748066,False,True,True,True,"Emotion-modulated (FE != Rest, FDR-corrected)"
Somatomotor,40,0.14649950968782366,30.562265887933236,7.398972856133886e-29,0.16209914167074133,25.745168405936372,4.363672073308335e-26,2.325186480275414,0.02535686290320669,False,True,True,True,"Emotion-modulated (FE != Rest, FDR-corrected)"
VentralAttention,40,0.1614098846154688,19.02533788338216,2.4542889565837207e-21,0.18053946211575816,19.649692403314717,7.824045074562661e-22,2.316753133561756,0.02585961838484342,False,True,True,True,"Emotion-modulated (FE != Rest, FDR-corrected)"
Frontoparietal,40,0.10851736701681909,19.19925918560765,1.7795176701158294e-21,0.12158673493281098,16.09346605746894,8.148049168771567e-19,2.307580447328929,0.02641659768590926,False,True,True,True,"Emotion-modulated (FE != Rest, FDR-corrected)"
Visual,40,0.14703548723467336,25.228738767306712,9.206427477464661e-26,0.16184980105520874,26.83508165649054,9.423092174889934e-27,1.9443428098146265,0.05909234934491138,False,True,True,False,Trend toward emotion-modulation (uncorrected)
DorsalAttention,40,0.1415206199468924,29.31947158734397,3.497020448881461e-28,0.15253554537818825,26.81510634743473,9.68664288733859e-27,1.7490135650325285,0.08815591736191009,False,True,True,False,Trend toward emotion-modulation (uncorrected)
Limbic,40,0.010075542254163607,2.7928017828410048,0.008055279287984909,0.014847941568374937,3.0605175526665165,0.003986831818622809,0.9458757486313307,0.3500357991909079,True,True,True,False,Low atlas coverage (unreliable)
