Network,N,Rest_mean,Rest_t,Rest_p,FE_mean,FE_t,FE_p,Diff_t,Diff_p,Rest_sig,FE_sig,Diff_sig,Classification
Visual,40,-0.006695876527418385,-0.5716347595603398,0.570849559766248,0.023887441598516447,2.1617185395287484,0.03683750604970276,2.137420217675933,0.03888968995116378,False,False,False,Not reliably engaged
Default,40,0.007228061895904939,1.0728761336099641,0.2899206686320245,-0.01292974578429901,-1.526803015988215,0.13488015754665772,-1.7215515146971039,0.09307523398102309,False,False,False,Not reliably engaged
Frontoparietal,40,-0.0031356640455251564,-0.36235718000532724,0.7190414093974677,-0.017545674301483474,-2.0395865099260884,0.04820713087396239,-0.9802495777409831,0.33300496840864424,False,False,False,Not reliably engaged
Limbic,40,-0.000911894170307716,-0.37719288889248265,0.7080750649939823,0.0012401966424883369,0.6958585324159211,0.49064365636837315,0.6581328079667618,0.5143192176337636,False,False,False,Not reliably engaged
Somatomotor,40,-0.008876372697337513,-0.8134682987040897,0.42088840623523005,-0.0032369039783792285,-0.27953415699245115,0.7813121184580986,0.35911226162390253,0.7214481343766113,False,False,False,Not reliably engaged
DorsalAttention,40,-0.007179991573864296,-0.6998191550363303,0.4881938390191404,-0.004063483776769765,-0.7790593647566516,0.44064657453503187,0.28329589453888554,0.7784484365937838,False,False,False,Not reliably engaged
VentralAttention,40,-0.011842594742296684,-1.2148859126494538,0.23171394897228811,-0.015374211986547431,-1.6202661041781172,0.11323410546667295,-0.2376599005021508,0.8133890368742402,False,False,False,Not reliably engaged
