Subject,Task,Network,Value
sub-18,rest,Somatomotor,0.1168157469363645
sub-18,rest,DorsalAttention,0.11742937536537881
sub-18,rest,VentralAttention,0.12352618165863198
sub-18,rest,Limbic,3.6137369571451585e-06
sub-18,rest,Frontoparietal,0.08013934252031542
sub-18,rest,Default,0.06498165292695943
sub-19,rest,Visual,0.14036348049993655
sub-19,rest,Somatomotor,0.12691101161859766
sub-19,rest,DorsalAttention,0.13128817662876052
sub-19,rest,VentralAttention,0.09324196166765662
sub-19,rest,Limbic,2.1105381026457552e-08
sub-19,rest,Frontoparietal,0.06969150172259128
sub-19,rest,Default,0.06731819071260871
sub-20,rest,Visual,0.12193640804798285
sub-20,rest,Somatomotor,0.12265779878943724
sub-20,rest,DorsalAttention,0.12083275172770773
sub-20,rest,VentralAttention,0.10158130299002537
sub-20,rest,Limbic,1.5454456088186146e-07
sub-20,rest,Frontoparietal,0.06966182021486375
sub-20,rest,Default,0.06721805659620053
sub-21,rest,Visual,0.16055054048810236
sub-21,rest,Somatomotor,0.12647723921899323
sub-21,rest,DorsalAttention,0.13248954782841058
sub-21,rest,VentralAttention,0.16372796202106746
sub-21,rest,Limbic,4.31755629172014e-07
sub-21,rest,Frontoparietal,0.09608259915916473
sub-21,rest,Default,0.0827351415292265
sub-22,rest,Visual,0.08595267708397036
sub-22,rest,Somatomotor,0.13209451361793847
sub-22,rest,DorsalAttention,0.10306345675510893
sub-22,rest,VentralAttention,0.11976948661374949
sub-22,rest,Limbic,9.804531693330074e-07
sub-22,rest,Frontoparietal,0.07999985558725105
sub-22,rest,Default,0.06404725615248522
sub-23,rest,Visual,0.21642750125422378
sub-23,rest,Somatomotor,0.10992553892269477
sub-23,rest,DorsalAttention,0.09515295040903074
sub-23,rest,VentralAttention,0.18148157379832253
sub-23,rest,Limbic,0.08903661732082233
sub-23,rest,Frontoparietal,0.08953063564945657
sub-23,rest,Default,0.13647826501388918
sub-24,rest,Visual,0.1748820293709789
sub-24,rest,Somatomotor,0.14768702789902757
sub-24,rest,DorsalAttention,0.14654941394393722
sub-24,rest,VentralAttention,0.1964787653869464
sub-24,rest,Limbic,0.029995798696082578
sub-24,rest,Frontoparietal,0.16690492278643126
sub-24,rest,Default,0.1836316134859499
sub-25,rest,Visual,0.20160988526253978
sub-25,rest,Somatomotor,0.208547393067384
sub-25,rest,DorsalAttention,0.20506723590748738
sub-25,rest,VentralAttention,0.22468952182380025
sub-25,rest,Limbic,0.051174668260018485
sub-25,rest,Frontoparietal,0.21190912218979321
sub-25,rest,Default,0.1799423616576516
sub-26,rest,Visual,0.1653983410687955
sub-26,rest,Somatomotor,0.1870650218200265
sub-26,rest,DorsalAttention,0.18577084096156782
sub-26,rest,VentralAttention,0.17726695007277932
sub-26,rest,Limbic,4.84202788986096e-07
sub-26,rest,Frontoparietal,0.12899623408232525
sub-26,rest,Default,0.10805901983322994
sub-27,rest,Visual,0.17282392053761111
sub-27,rest,Somatomotor,0.13264089183719383
sub-27,rest,DorsalAttention,0.12591921101256714
sub-27,rest,VentralAttention,0.24891721002290806
sub-27,rest,Limbic,0.085360911398177
sub-27,rest,Frontoparietal,0.1332126708580842
sub-27,rest,Default,0.18280992392544732
sub-28,rest,Visual,0.11565658953361932
sub-28,rest,Somatomotor,0.130370386426433
sub-28,rest,DorsalAttention,0.12494142291528916
sub-28,rest,VentralAttention,0.12102276618303875
sub-28,rest,Limbic,2.1795685000389296e-06
sub-28,rest,Frontoparietal,0.08382614291008483
sub-28,rest,Default,0.07513445930059817
sub-29,rest,Visual,0.12161002490768513
sub-29,rest,Somatomotor,0.11894607286470246
sub-29,rest,DorsalAttention,0.09581597109105768
sub-29,rest,VentralAttention,0.18609351032103666
sub-29,rest,Limbic,0.018081162451831473
sub-29,rest,Frontoparietal,0.11334945948693986
sub-29,rest,Default,0.127445261787073
sub-30,rest,Visual,0.15166957237314752
sub-30,rest,Somatomotor,0.14244105422201722
sub-30,rest,DorsalAttention,0.13384489942837527
sub-30,rest,VentralAttention,0.20371127180356768
sub-30,rest,Limbic,0.00015372254271265055
sub-30,rest,Frontoparietal,0.11301500755042884
sub-30,rest,Default,0.1243073545296984
sub-31,rest,Visual,0.09495329821897258
sub-31,rest,Somatomotor,0.13521470842160097
sub-31,rest,DorsalAttention,0.11272894684925445
sub-31,rest,VentralAttention,0.16731078553894907
sub-31,rest,Limbic,9.329458845271092e-05
sub-31,rest,Frontoparietal,0.08882891307211775
sub-31,rest,Default,0.07889842446402326
sub-32,rest,Visual,0.12077555825605994
sub-32,rest,Somatomotor,0.14714175520865624
sub-32,rest,DorsalAttention,0.15486657764711562
sub-32,rest,VentralAttention,0.11926537364435834
sub-32,rest,Limbic,1.164983081972291e-09
sub-32,rest,Frontoparietal,0.10741299843955261
sub-32,rest,Default,0.08886362266286055
sub-33,rest,Visual,0.1548779399482606
